Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
203,Skoda,Kushaq,2016,Electric,Automatic,1860000.0,18.1,800,4,9400.0
204,Skoda,Superb,2018,Electric,Manual,1870000.0,13.5,800,6,21000.0
205,Honda,Civic,2022,Diesel,Manual,2860000.0,23.6,1500,4,13700.0
206,Toyota,Urban Cruiser,2016,Petrol,Automatic,2660000.0,25.2,2000,6,5000.0
207,Kia,EV6,2017,Diesel,Manual,2890000.0,19.9,1000,6,15200.0
208,Volkswagen,Vento,2020,Electric,Automatic,1740000.0,25.6,1000,4,16200.0
209,Hyundai,Venue,2022,Electric,Manual,2490000.0,13.6,1800,6,7800.0
210,Hyundai,i10,2019,Electric,Manual,1490000.0,15.1,800,4,10900.0
211,Honda,WR-V,2018,Diesel,Manual,640000.0,16.3,800,4,9900.0
212,Kia,Carens,2023,CNG,Automatic,2030000.0,16.0,800,6,11200.0
213,Mahindra,XUV300,2022,Electric,Manual,2950000.0,17.3,1200,7,11000.0
214,Hyundai,i20,2024,CNG,Manual,2330000.0,28.7,1800,7,8500.0
215,Volkswagen,Polo,2016,Electric,Manual,1770000.0,20.1,1500,7,23400.0
216,Renault,Duster,2023,Petrol,Manual,2650000.0,20.2,1000,6,11400.0
217,Renault,Triber,2021,Diesel,Manual,980000.0,25.2,800,7,19700.0
218,Renault,Triber,2022,CNG,Manual,3280000.0,27.0,2000,7,10300.0
219,Skoda,Octavia,2016,Electric,Manual,2710000.0,14.0,800,7,7300.0
220,Renault,Kwid,2019,Petrol,Manual,1660000.0,18.3,1200,5,12500.0
221,Skoda,Rapid,2018,Electric,Automatic,460000.0,19.6,1000,4,11600.0
222,Kia,EV6,2020,Electric,Manual,1810000.0,21.6,1200,7,11900.0
223,Tata Motors,Harrier,2019,Electric,Automatic,1750000.0,17.0,1500,7,17900.0
224,Mahindra,Thar,2019,CNG,Automatic,1120000.0,22.3,1200,6,22600.0
225,Volkswagen,Virtus,2016,Electric,Automatic,2190000.0,27.7,1200,6,21900.0
226,Toyota,Glanza,2016,Electric,Automatic,2540000.0,13.4,1000,5,7000.0
227,Honda,City,2019,Diesel,Automatic,2270000.0,28.2,800,7,10300.0
228,Hyundai,i20,2022,Petrol,Automatic,3040000.0,29.0,2500,4,20300.0
229,Tata Motors,Nexon,2021,Diesel,Automatic,3420000.0,12.9,800,5,13800.0
230,Hyundai,i10,2018,CNG,Manual,3050000.0,12.3,1500,5,15300.0
231,Volkswagen,Taigun,2020,Diesel,Manual,1240000.0,20.9,1800,4,17200.0
232,Skoda,Rapid,2018,Diesel,Manual,1140000.0,28.5,1800,4,9900.0
233,Skoda,Kushaq,2016,Petrol,Automatic,1930000.0,14.6,1000,7,11600.0
234,Skoda,Slavia,2018,CNG,Manual,3230000.0,11.3,1000,4,5900.0
235,Mahindra,XUV700,2020,CNG,Manual,1860000.0,21.2,1200,6,11300.0
236,Honda,Amaze,2021,Electric,Automatic,1340000.0,27.6,2500,5,9300.0
237,Tata Motors,Punch,2019,Electric,Automatic,2050000.0,10.2,2000,4,11900.0
238,Toyota,Camry,2024,Petrol,Manual,2970000.0,24.6,1000,4,23300.0
239,Mahindra,XUV300,2023,Diesel,Manual,1020000.0,11.4,1000,6,8700.0
240,Kia,Sonet,2019,CNG,Manual,3010000.0,13.5,1800,6,13400.0
241,Toyota,Camry,2023,Electric,Manual,1930000.0,24.5,1800,4,15800.0
242,Maruti Suzuki,Dzire,2018,Electric,Manual,1570000.0,11.0,1200,5,21300.0
243,Tata Motors,Harrier,2015,Petrol,Manual,1740000.0,19.3,2000,6,18500.0
244,Toyota,Innova,2022,Diesel,Automatic,1040000.0,10.2,2000,4,24000.0
245,Tata Motors,Harrier,2018,Petrol,Automatic,940000.0,19.8,1000,6,7100.0
246,Hyundai,Creta,2022,Diesel,Automatic,1590000.0,21.9,1800,4,21600.0
247,Mahindra,XUV300,2021,Petrol,Manual,2160000.0,28.6,2000,7,17200.0
248,Honda,Jazz,2017,CNG,Automatic,2570000.0,11.0,1800,5,22300.0
249,Kia,Sonet,2022,Petrol,Automatic,1260000.0,28.8,1800,7,15600.0
250,Volkswagen,Polo,2024,Petrol,Automatic,2610000.0,27.7,2500,6,5900.0
251,Honda,City,2017,Diesel,Automatic,1190000.0,11.1,1200,5,21400.0
252,Hyundai,Creta,2024,CNG,Manual,1480000.0,14.2,2000,7,19700.0
253,Hyundai,Creta,2023,Petrol,Automatic,1700000.0,24.7,1200,6,24300.0
254,Tata Motors,Punch,2015,Electric,Automatic,3190000.0,11.8,1800,4,8900.0
255,Maruti Suzuki,Ertiga,2023,Electric,Manual,3380000.0,15.5,1800,4,6000.0
256,Renault,Kwid,2019,Electric,Automatic,740000.0,10.4,1000,4,9600.0
257,Renault,Kiger,2020,Electric,Automatic,2060000.0,14.3,1800,4,11700.0
258,Hyundai,i20,2021,Electric,Manual,3200000.0,17.4,800,7,6600.0
259,Mahindra,XUV300,2019,CNG,Manual,3280000.0,19.8,1000,7,19200.0
260,Honda,WR-V,2022,Diesel,Automatic,2060000.0,12.0,2000,4,6800.0
261,Skoda,Rapid,2019,CNG,Automatic,1490000.0,14.3,1800,4,22700.0
262,Maruti Suzuki,WagonR,2023,Petrol,Manual,700000.0,17.3,1000,5,24400.0
263,Kia,Sonet,2023,Petrol,Automatic,2620000.0,23.4,800,5,7800.0
264,Toyota,Glanza,2022,CNG,Manual,1020000.0,24.1,2500,5,6400.0
265,Volkswagen,Polo,2022,Diesel,Manual,2240000.0,13.8,2000,7,24100.0
266,Honda,Amaze,2021,Diesel,Manual,2400000.0,22.3,1500,4,11200.0
267,Honda,Civic,2023,Petrol,Manual,2560000.0,14.6,1000,4,17100.0
268,Kia,Sonet,2016,Petrol,Manual,1440000.0,15.9,1200,7,10400.0
269,Volkswagen,Virtus,2018,Diesel,Automatic,3450000.0,26.9,1000,7,12900.0
270,Renault,Kwid,2016,Electric,Automatic,3210000.0,25.4,2000,5,8500.0
271,Maruti Suzuki,WagonR,2022,Electric,Manual,520000.0,24.7,1000,4,22200.0
272,Honda,WR-V,2023,Petrol,Automatic,2600000.0,25.1,2000,6,15800.0
273,Mahindra,Scorpio,2017,Diesel,Manual,3260000.0,12.3,2500,4,21000.0
274,Tata Motors,Tiago,2018,CNG,Automatic,1190000.0,23.9,1200,4,5800.0
275,Mahindra,Scorpio,2019,Petrol,Manual,3210000.0,15.9,1800,4,16600.0
276,Maruti Suzuki,Swift,2022,CNG,Automatic,3400000.0,21.2,800,6,15000.0
277,Hyundai,Creta,2020,Electric,Automatic,2610000.0,15.9,1200,6,18100.0
278,Toyota,Camry,2020,Petrol,Manual,860000.0,11.7,800,7,15800.0
279,Maruti Suzuki,Baleno,2022,Diesel,Manual,2480000.0,24.8,800,6,22500.0
280,Renault,Duster,2018,Electric,Manual,2210000.0,11.8,2000,7,6500.0
281,Maruti Suzuki,Swift,2023,Diesel,Manual,1280000.0,25.5,1000,4,7700.0
282,Kia,Carnival,2023,CNG,Automatic,3070000.0,26.1,1200,7,23700.0
283,Mahindra,XUV700,2022,Diesel,Automatic,3040000.0,17.7,2500,5,11300.0
284,Renault,Kiger,2020,CNG,Automatic,420000.0,24.2,2000,4,10400.0
285,Toyota,Glanza,2016,Electric,Manual,2220000.0,17.7,2500,5,17300.0
286,Toyota,Fortuner,2017,Diesel,Automatic,3240000.0,27.2,1200,6,19600.0
287,Kia,Carnival,2018,CNG,Automatic,1240000.0,18.4,800,6,18200.0
288,Tata Motors,Nexon,2022,Electric,Automatic,2830000.0,11.0,1500,4,20000.0
289,Maruti Suzuki,Swift,2018,CNG,Automatic,1200000.0,24.7,800,6,13400.0
290,Volkswagen,Taigun,2018,Diesel,Automatic,1110000.0,11.8,1000,4,21600.0
291,Renault,Triber,2015,Diesel,Manual,3020000.0,19.4,1800,4,15300.0
292,Kia,EV6,2021,Electric,Automatic,2280000.0,10.0,1200,7,10700.0
293,Toyota,Urban Cruiser,2015,CNG,Manual,2970000.0,17.8,1200,7,12500.0
294,Skoda,Kushaq,2022,CNG,Automatic,2020000.0,26.1,1500,7,6200.0
295,Maruti Suzuki,Ertiga,2022,Diesel,Manual,1520000.0,15.0,1000,7,19900.0
296,Skoda,Slavia,2018,Petrol,Manual,1390000.0,13.3,1200,6,19800.0
297,Mahindra,Scorpio,2018,Electric,Manual,2440000.0,16.1,800,5,14400.0
298,Volkswagen,Vento,2019,Electric,Automatic,3350000.0,15.3,1200,5,18500.0
299,Skoda,Octavia,2016,Petrol,Manual,2750000.0,21.9,2000,6,13600.0
300,Maruti Suzuki,Baleno,2016,Diesel,Automatic,1270000.0,29.6,2000,6,6700.0
301,Renault,Duster,2016,CNG,Manual,650000.0,16.0,2000,4,20000.0
302,Volkswagen,Vento,2022,Diesel,Manual,2670000.0,22.9,1000,6,10000.0
303,Kia,Carens,2020,Diesel,Automatic,1180000.0,10.9,1200,5,23400.0
304,Skoda,Rapid,2019,CNG,Automatic,2110000.0,10.3,2000,4,19800.0
305,Renault,Kiger,2018,CNG,Automatic,3310000.0,18.7,1800,4,23000.0
306,Maruti Suzuki,Baleno,2024,CNG,Automatic,1550000.0,13.4,1000,5,16700.0
307,Kia,Sonet,2016,Electric,Automatic,1170000.0,13.2,1200,6,9200.0
308,Tata Motors,Tiago,2022,CNG,Automatic,1690000.0,18.2,2500,7,14700.0
309,Maruti Suzuki,WagonR,2015,CNG,Automatic,2500000.0,26.6,1500,7,9100.0
310,Kia,EV6,2020,CNG,Automatic,1410000.0,18.8,1000,5,14100.0
311,Maruti Suzuki,Ertiga,2019,Electric,Automatic,1960000.0,15.9,800,4,5300.0
312,Maruti Suzuki,WagonR,2017,Diesel,Automatic,2180000.0,11.0,1200,5,22300.0
313,Renault,Kwid,2020,Electric,Manual,3000000.0,22.9,800,7,12100.0
314,Toyota,Camry,2020,Diesel,Automatic,880000.0,28.5,1000,7,16600.0
